Kp=0.75;;;;;;;;;;;;;;;;;;;;;;;;;
14:17:56;35.1;;14:44:38;36.70;;15:07:38;36.60;;;;;15:59:46;37.10;;16:22:40;37.50;;;;;17:29:34;37.70;;17:56:57;38.30
14:18:18;35.1;;14:45:21;36.80;;15:08:00;36.70;;;;;16:00:07;37.10;;16:23:01;37.30;;;;;17:29:55;37.60;;17:57:18;38.20
14:18:39;35.1;;;;;15:08:21;36.80;;;;;16:00:50;37.10;;16:23:23;37.20;;;;;17:30:16;37.50;;17:57:40;38.20
14:19:22;35;;;;;15:08:42;36.90;;;;;16:01:11;37.10;;16:23:44;37.10;;;;;17:30:38;37.30;;17:58:22;38.00
14:19:43;34.9;;;;;15:09:04;36.90;;;;;16:01:33;37.10;;16:24:05;37.10;;;;;17:30:59;37.20;;17:58:44;37.80
14:20:04;34.8;;;;;15:09:47;37.00;;;;;;;;16:24:48;37.20;;;;;17:31:20;37.10;;17:59:27;37.60
14:20:47;34.7;;;;;;;;;;;;;;16:25:09;37.40;;;;;17:31:42;37.00;;17:59:48;37.40
14:21:08;34.7;;;;;;;;;;;;;;16:25:31;37.60;;;;;17:32:03;36.90;;18:00:10;37.20
;;;;;;;;;;;;;;;16:25:52;37.70;;;;;17:32:24;36.80;;18:00:52;37.10
;;;;;;;;;;;;;;;16:26:14;37.80;;;;;17:32:46;36.80;;18:01:14;36.90
;;;;;;;;;;;;;;;16:26:35;37.90;;;;;17:33:28;36.90;;18:01:35;36.90
;;;;;;;;;;;;;;;16:27:18;37.90;;;;;17:33:50;36.90;;18:02:39;36.90
;;;;;;;;;;;;;;;16:27:39;37.90;;;;;17:34:11;36.90;;18:03:01;36.90
;;;;;;;;;;;;;;;16:28:00;37.80;;;;;17:34:32;37.00;;18:03:22;37.00
;;;;;;;;;;;;;;;16:28:22;37.70;;;;;17:34:54;37.20;;18:04:05;37.20
;;;;;;;;;;;;;;;16:28:43;37.70;;;;;17:35:15;37.30;;18:04:26;37.30
;;;;;;;;;;;;;;;16:29:05;37.60;;;;;17:35:36;37.40;;18:06:13;37.70
;;;;;;;;;;;;;;;16:29:26;37.50;;;;;17:35:58;37.50;;18:06:56;37.70
;;;;;;;;;;;;;;;16:29:48;37.40;;;;;17:36:19;37.60;;18:07:17;37.70
;;;;;;;;;;;;;;;;;;;;;;;;18:07:39;37.70
;;;;;;;;;;;;;;;;;;;;;;;;18:08:22;37.70
;;;;;;;;;;;;;;;;;;;;;;;;18:08:43;37.60
;;;;;;;;;;;;;;;;;;;;;;;;18:09:05;37.50
;;;;;;;;;;;;;;;;;;;;;;;;18:09:26;37.50
;;;;;;;;;;;;;;;;;;;;;;;;18:09:48;37.50
;;;;;;;;;;;;;;;;;;;;;;;;18:10:09;37.40
